Student,Parent
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
Non-Smoker,Neither
